case,harness_commit,operation,inputs,backend,runner,rows_per_query,concurrency,threads,ray_cpus,sample_rate,image_mode,transport,http_delay_ms,position,size,repetitions,wall_ms_by_repetition,driver_cpu_ms_by_repetition,whole_process_peak_rss_bytes,http_body_bytes_by_repetition,http_get_requests_by_repetition,http_head_requests_by_repetition,aggregate_results,paired_aggregates_match,vane_version,engine_version,engine_source_id,artifact_sha256,diagnostic_spool_files,diagnostic_spool_written_bytes,diagnostic_spool_peak_live_bytes,diagnostic_spool_live_bytes_at_end,diagnostic_audio_setup_ms,diagnostic_audio_decode_ms,diagnostic_audio_resample_ms,diagnostic_audio_allocation_ms,diagnostic_audio_file_read_ms,diagnostic_audio_file_read_calls,diagnostic_audio_file_bytes_read,diagnostic_audio_decoded_frames,diagnostic_audio_output_frames,diagnostic_audio_output_bytes,diagnostic_audio_buffer_growths,diagnostic_audio_max_buffer_capacity_bytes,codec_version,resampler_version
audio-concurrency-four,c36da3ba45,audio_resample,audio-large.wav,python,local,4,4,1,,16000,,local,0,,,5,76.268875011;72.384789994;69.341512019;67.179674981;65.505307022,200.007992000;199.190866000;189.721250000;180.109249000;174.946434000,323469312,,,,"[[320000],[320000],[320000],[320000]]",True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,16,20480000,4881312,0,,,,,,,,,,,,,,
audio-concurrency-four,c36da3ba45,audio_resample,audio-large.wav,native,local,4,4,1,,16000,,local,0,,,5,170.985109988;171.885515010;167.865872994;168.784537993;152.102257009,658.499210000;654.180220000;609.311956000;609.880439000;586.617526000,323469312,,,,"[[320000],[320000],[320000],[320000]]",True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,4.070705000,592.063340000,55.582866000,8.223041000,2.291309000,272,17457152,3840000,1280000,20480000,36,8388608,4070501,394085
audio-high-rate,c36da3ba45,audio_resample,audio-high-rate.wav,python,local,2,1,1,,16000,,local,0,,,5,26.038440992;21.497114009;21.111626993;21.298348001;21.301878995,22.439857000;21.506625000;21.049524000;21.287974000;21.305999000,236122112,,,,[[32000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,2,2048000,1024000,0,,,,,,,,,,,,,,
audio-high-rate,c36da3ba45,audio_resample,audio-high-rate.wav,native,local,2,1,1,,16000,,local,0,,,5,224.891623016;224.482172984;221.847951005;233.550781995;223.855074000,224.908024000;224.425391000;221.808424000;233.538959000;223.796376000,236122112,,,,[[32000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,0.919209000,306.479321000,14.414387000,1.452535000,0.869180000,28,3334144,192000,32000,2048000,5,2097152,4070501,394085
audio-large-adts,c36da3ba45,audio_resample,audio-large.adts,native,local,4,1,1,,16000,,local,0,,,5,40.237615991;39.710070007;36.474986002;34.085949999;33.703803987,40.241241000;41.331765000;36.444809000;34.083256000;33.676431000,239792128,,,,[[322220]],,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,6.830909000,32.596021000,27.252135000,8.440875000,0.059968000,4,247676,966656,322220,5155520,9,8388608,4070501,394085
audio-large-aiff,c36da3ba45,audio_resample,audio-large.aiff,python,local,4,1,1,,16000,,local,0,,,5,35.403610003;36.920215003;37.330007995;37.203167012;36.096586991,35.394720000;36.929453000;37.317604000;37.194959000;36.088884000,246292480,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,4,5120000,1280000,0,,,,,,,,,,,,,,
audio-large-aiff,c36da3ba45,audio_resample,audio-large.aiff,native,local,4,1,1,,16000,,local,0,,,5,17.037932994;16.616895009;18.658604007;18.510919006;16.645466007,17.028246000;16.608357000;18.654961000;18.503486000;16.637748000,246292480,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,1.437291000,6.209354000,32.659676000,9.671254000,1.000977000,64,4102144,960000,320000,5120000,9,8388608,4070501,394085
audio-large-flac,c36da3ba45,audio_resample,audio-large.flac,python,local,4,1,1,,16000,,local,0,,,5,49.827345007;49.333125993;48.920620990;53.596520011;53.333419986,49.813924000;49.318992000;48.910012000;52.995840000;53.330513000,247353344,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,4,5120000,1280000,0,,,,,,,,,,,,,,
audio-large-flac,c36da3ba45,audio_resample,audio-large.flac,native,local,4,1,1,,16000,,local,0,,,5,41.066906997;40.381506988;40.427808999;41.567526001;43.415121996,41.028881000;40.372558000;40.393848000;41.567152000;43.351946000,247353344,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,2.912495000,47.426259000,25.824428000,7.995045000,0.240388000,12,782248,960000,320000,5120000,9,8388608,4070501,394085
audio-large-mp3,c36da3ba45,audio_resample,audio-large.mp3,python,local,4,1,1,,16000,,local,0,,,5,74.185882986;72.645281994;71.378946013;73.419934022;74.485052988,74.178627000;72.637454000;71.357206000;73.391098000;74.446968000,247394304,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,4,5120000,1280000,0,,,,,,,,,,,,,,
audio-large-mp3,c36da3ba45,audio_resample,audio-large.mp3,native,local,4,1,1,,16000,,local,0,,,5,51.966619008;52.093275008;48.638106004;48.765738989;48.521660996,51.956744000;52.087462000;48.642319000;48.747200000;48.508152000,247394304,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,5.718402000,56.447769000,23.602138000,7.356618000,0.294485000,24,1069056,960000,320000,5120000,9,8388608,4070501,394085
audio-large-mp4,c36da3ba45,audio_resample,audio-large.mp4,native,local,4,1,1,,16000,,local,0,,,5,34.636210010;34.674785013;30.732852989;28.368141997;28.807194001,34.633951000;34.669780000;32.481578000;28.346776000;28.801484000,238940160,,,,[[322220]],,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,1.896063000,30.124829000,27.975319000,8.594336000,0.063417000,4,248152,966656,322220,5155520,9,8388608,4070501,394085
audio-large-ogg,c36da3ba45,audio_resample,audio-large.ogg,python,local,4,1,1,,16000,,local,0,,,5,53.574646998;54.257746000;53.493751999;55.052660988;55.678920995,53.569823000;54.250236000;53.483041000;55.043448000;55.647175000,248414208,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,4,5120000,1280000,0,,,,,,,,,,,,,,
audio-large-ogg,c36da3ba45,audio_resample,audio-large.ogg,native,local,4,1,1,,16000,,local,0,,,5,29.307832010;30.106642982;29.433612974;29.071653000;29.180806014,29.300409000;30.115930000;29.438018000;29.075834000;29.185395000,248414208,,,,[[320000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,1.714036000,30.731831000,27.261600000,8.588999000,0.056192000,4,94776,960000,320000,5120000,9,8388608,4070501,394085
audio-large-to-48000,c36da3ba45,audio_resample,audio-large.wav,python,local,4,1,1,,48000,,local,0,,,5,20.018184994;20.321054006;19.273209997;20.331758016;20.029513980,20.003339000;20.289270000;19.262386000;20.306699000;20.016131000,271609856,,,,[[960000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,4,15360000,3840000,0,,,,,,,,,,,,,,
audio-large-to-48000,c36da3ba45,audio_resample,audio-large.wav,native,local,4,1,1,,48000,,local,0,,,5,126.242799975;124.803338986;134.036710020;122.933605016;121.982142999,126.229487000;124.763096000;134.043703000;122.705437000;121.979528000,271609856,,,,[[960000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,1.275801000,159.263114000,9.644022000,10.859976000,0.703361000,68,4364288,960000,960000,15360000,9,16777216,4070501,394085
audio-large-to-8000,c36da3ba45,audio_resample,audio-large.wav,python,local,4,1,1,,8000,,local,0,,,5,28.385630023;29.032046994;28.977002017;27.002011979;27.883431001,28.368968000;29.021269000;28.966093000;26.989738000;27.886774000,238026752,,,,[[160000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,,4,2560000,640000,0,,,,,,,,,,,,,,
audio-large-to-8000,c36da3ba45,audio_resample,audio-large.wav,native,local,4,1,1,,8000,,local,0,,,5,133.038277010;140.231815982;133.543762000;134.560061008;132.025193016,133.031508000;140.205543000;133.533130000;134.540347000;131.970109000,238026752,,,,[[160000]],True,0.2.0.dev626,v1.5.5-vane.4f215fc6aa,454c70f60b,b67e06664c602bf1095405b3f83a08d60708ddf2aa054a1942d8abe187333cf8,0,0,0,0,1.392715000,180.220067000,17.646532000,3.062233000,0.715535000,68,4364288,960000,160000,2560000,8,4194304,4070501,394085
